DSI Project,description,tech,tags,url,open democracy,new ways of making,awareness networks for sustainable change,collaborative economy,open access,social innovation
Social venture incubator,Kolba Labs supports young innovators in Armenia who have a good understanding of a social problem and who feel passionate about solving it.  Successful applicants join one of ten teams of highly energized individuals and enter our social venture incubation programme.  With support from UNDP. UNICEF and UNIDO. we help develop the ideas into products/services and launch them into the market.Teams that make it into our incubation programme receive: Access to our training workshops; Support from mentors and specialists; Fundraising to help their venture reach scale and sustainability.  Kolba Labs requires the social ventures to operate under a creative commons licence.,open-knowledge,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/f7fc97c8-05f9-533a-034f-990f5f686f0a,,1,,,1,1
Makers Guild,The Makers Guild connects craftsmanship. digital personal fabrication and biotechnology. ,open-hardware,science bio-arts digital-fabrication bio-technology technology makers-movement diy,http://data.digitalsocial.eu/id/activity/8688cb85-a26e-a385-6427-61353a1986b3,,1,,,,
Numbers That Matter,Creating physical objects that represent and create new understanding from open data,open-data,health-and-wellbeing education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/aeef5cbc-5019-c7f2-786e-3bd413958c25,,1,,,1,
Medialab Session,We're a team of connectors dedicated to accelerating innovation in journalism and the news industry.,open-knowledge,media-and-innovation,http://data.digitalsocial.eu/id/activity/caf7d0c5-df8b-4d14-2e67-40297ad5ff30,1
Infolab,"Design ways of spreading and mobilizing a ""culture of data"" among local players (institutions. SMEs. NGOs. citizen groups...) - seen as developing the ""demand side"" of Open Data.",open-networks,participation-and-democracy education-and-skills finance-and-economy neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/cea69e91-5b71-bd07-c0df-f22fd6cd95b8,,,,,?,
MesInfos,"MesInfos (""MyData"") gathers a limited number of pioneer corporations. administrations. and individuals. in order to explore and experiment consumer empowerment. through the sharing and reuse of the personal data that organizations own about them.",open-networks,work-and-employment health-and-wellbeing participation-and-democracy finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/98bd1289-4779-cf50-c16f-96de1c6bf84a,,,,1,1,
FutureEverything Festival,FutureEverything festival is a yearly exploration of digital arts. music and culture. Taking place in Manchester it hosts critical debate around emergent technology and practice. workshops. exhibitions. performance and music,open-networks,health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/81e1cba1-98d9-05ff-07f6-cdfbe0271ef1,1,1,1,1,1,1
MuseomixUK,Over three consecutive days. participants create and test new ways to mediate exhibitions.We bring museum professionals. innovators and digital experts together with art lovers. science enthusiasts. and others passionate about education and culture. This community mixes and develops ideas in pursuit of a new model for museums that is less restrictive and cloistered. Museomix envisions a museum that is:- more open. where anyone can find something for themselves.- a networked actor among multiple communities.- a living laboratory that evolves with its users and visitors.,open-networks,education-and-skills science culture-and-arts energy-and-environment,http://data.digitalsocial.eu/id/activity/01a873ef-7169-6970-ba67-a50a1c2a1724,,,1,1,,
Research on Technology Enhanced Learning ,The Centre for Learning Sciences and Technologies (CELSTEC) is a Centre of Excellence in the fields of Learning Sciences and Technology Enhanced Learning.CELSTEC aims to improve learning and  knowledge handling at work. at school. at home and on the move. by combining state-of-the-art knowledge in the Learning Sciences with the innovative powers of new Information and Communication Technologies.New technologies and approaches to learning are extensively tested in our laboratories and in real practice.The core activities of CELSTEC are: research. innovation and education & training.,,,http://data.digitalsocial.eu/id/activity/bb088186-7709-5ff9-659a-48dad106e700,,,,1,,
social business design,strategic development and planning,open-networks,health-and-wellbeing participation-and-democracy culture-and-arts neighbourhood-regeneration food charity housing,http://data.digitalsocial.eu/id/activity/71e57fd9-9958-88df-501d-4e69a281c038,,,,,,1
Meetups. Workshops. City Walkshops,,open-networks,,http://data.digitalsocial.eu/id/activity/f82682a0-da1f-df5d-dfaf-699e015234b7,,1,1,,,
Internet of Things Zurich Meetup,Bring people together. to learn. make and share everything related to the Internet of Things.,open-networks,education-and-skills,http://data.digitalsocial.eu/id/activity/360296aa-c490-3ead-26ef-3e3b56cccbb4,,1,1,,,
Social Powermeetings,Social Powermeetings is meant to meet. connect. reinforce and inspire social entrepreneurs in The Netherlands. Each #socialpower meeting has an inspiring speaker. In an 'open space' setting every visitor has the opportunity to adress his/her question or problem. ,open-networks,health-and-wellbeing social-entrepreneurs participation,http://data.digitalsocial.eu/id/activity/465e3daf-8372-000d-682e-4c8a0a6e5edc,,,,,,1
Fairphone,A seriously cool smartphone that puts social values first.,open-knowledge,health-and-wellbeing participation-and-democracy finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/4571bb63-e128-25d7-cb41-e2aa5e50b6be,,1,,,,
CultureShift Russia: Art Lab,FutureEverything and the British Council are hosting a weekend Art Lab at Strelka in Moscow from 27th to 29th September 2013. The event will create a space for idea generation and exploration through rapid prototyping. creative experimentation and low risk play.We are looking for interested and interesting artists. computer programmers. designers. creative technologists and cultural organisations to come along and take part.The event is a pioneering programme that encourages open collaboration with people who have different skills to create something original. This process is about meeting new people. learning new things and changing the way you work. prototype and develop. It is a space to innovate and be creative.The programme will culminate with a showcase of prototypes developed over the weekend and a chance to win a variety of prizes. including the opportunity to show your prototype at MIGZ and money to develop your project further.You can find out more about previous British Council Culture Shifts here.We have asked a handful of cultural organisations to provide their own data for this event. The cultural organisations will be releasing this data exclusively for this event and giving participants the opportunity to play and prototype with this new information.If you are interested in discussing what data you might hold and the benefits of releasing that data for Culture Shift Russia then please contact Joeli Brearley. our Innovation Projects Officer.There will be various activities taking place alongside the hack. including workshops and films. There will also be an opportunity for participants to use a 3D printer or makerbot. with mentors on hand if assistance is required.Facilitating the event from FutureEverything will be –Tom Higham - Tom is Executive Producer at FutureEverything. He will be leading and facilitating the Art Lab.Joeli Brearley - Joeli is Innovation Projects Officer of FutureEverything and Director of CultureCode. She has been working with the local producer to pull together a really exciting and rewarding experience for all the participants.,open-data,education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/af75f5e5-d43d-c963-ea90-88927ac84663,,1,,,1,
P2P Carsharing,Community-driven P2P carsharing in the Netherlands. Germany. We'll enter the UK soon. ,,,http://data.digitalsocial.eu/id/activity/697d80fb-1b72-b7d7-389e-b04a317adac3,,,,1,,
Developing a mobile messaging tool for socially isolated people and organisations,,,,http://data.digitalsocial.eu/id/activity/ba601c15-b24b-af1e-36d8-90ce3dc16144,1
Promoting UK startup communities,Tech Britain started out of inspiration & frustration.  Inspiration derived from the Tech City initiative in London but subsequent frustration with the fact that a similar initiative did not exist for the rest of the country and was needed to showcase the phenomenal talent across Britain. Tech Britain aims to highlight and promote startup communities across the United Kingdom.,open-networks,work-and-employment education-and-skills technology participation,http://data.digitalsocial.eu/id/activity/60e7e271-8e28-a9d4-8382-b52d6c8fcfef,,,,,,1
Crowdsourced learning,We give people in our community to make their own learning content. that can be sold or given to other community members. Making everyone a producer of learning material.,,,http://data.digitalsocial.eu/id/activity/97b6889f-0876-572c-ee80-5cbd5d431f32,,,,1,,
Online Resources,Created by working in collaboration with our global audience. AccessArt aims to support and enable high quality visual arts teaching and learning through the sharing of excellent artist-led or artist-inspired practice.,open-knowledge,participation-and-democracy education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/f1ac3596-96b2-b73d-1986-e556d21371d1,,,,,1,
Policy making for social innovation,,open-networks,,http://data.digitalsocial.eu/id/activity/043f8647-3497-c9de-ff5c-868df2973938,1
AccessArt Distance Learning and Online Tutorial,Modular online learning in the visual arts. including upload facility and peer to peer. and artist to delegate. tutorial feedback,open-knowledge,participation-and-democracy education-and-skills culture-and-arts,http://data.digitalsocial.eu/id/activity/ee699bb1-712b-8d04-5445-617f6743f24a,,,,,1,
Peopleriver,A non-profit making platform that brings good people and good causes together to turn awareness into action. With the aim of creating a fairer. more stable and harmonious world.,,all-areas,http://data.digitalsocial.eu/id/activity/940297e4-8fc1-87b2-78af-3d752e601049,1
Strengthening democracy,We support democratic institutions and civil society groups to re-imagine leadership and transform engagement through the effective use of digital and social media,open-networks,participation-and-democracy local-government civil-society-groups campaign-organisations neighbourhoods,http://data.digitalsocial.eu/id/activity/27096e9d-abcb-eabc-ac89-e5b4295402f1,1
Crowdsourcing good Math exercises,Being a good Math teacher is extremely time-consuming and can take up to 40% of the teacher's overall working time. We made it easier by making good exercises easy to find. mix and match. Right now we are working with the teaching community in Estonia to crowdsource exercises the teachers themselves have gathered and produced. There are so many good ones.PS. Excellent Math problems from around the EU are welcome to siim@matemaatik.ee.,open-knowledge,education-and-skills teaching,http://data.digitalsocial.eu/id/activity/9a1bc867-25ea-5bfe-54a2-7747da1bf2bb,,,,1,1,
Creative workspace for island & visiting artists,EIGG BOXEigg Box will be a new space for artists to make and do creative work.  The newly built eco workspace on the Isle of Eigg will bring together local island creative businesses with artists from around the world.  It currently provides training. mentoring and development opportunities for island & visiting artists using existing (limited) facilities.Established as a self-sustaining social enterprise. Eigg Box will be a powerhouse of creative activity. entrepreneurship. inspiration and collaboration. However. unlike its urban counterparts. Eigg Box’s eco-built studios and creative workspace will be on the Isle of Eigg; a community-owned. renewably-powered island. off the north-west coast of Scotland with a population of less than 100. Eigg Box turns on its head the notion that a centre of entrepreneurship and creativity needs to be at the centre of population.Eigg Box makes the remote central.,open-networks,work-and-employment participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/3b398389-9dbd-f20b-1ce3-8fc6ca665a17,,1,,,,1
Crowdsourcing images for good,Photofoundation is an image bank with a difference. We get people with a passion for photography to contribute images; we give our member charities free access to our image bank; and we sell images to commercial buyers. with a percentage of the profits also going to charity. ,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/8714dd1a-97ae-7d47-6a50-7db887face8c,,,,1,1,
Deebase,IntroductionSince the emergence of the so called Web2.0. internet technologies have greatly expanded the possibilities for people to interact and discuss; but how many times have we found ourselves trapped in endless debates about everyday facts? Social networks have greatly contributed in re-shaping the idea of online interactions. but their outcomes are. most of the time. a clashing chorus of lonely voices unable to listen to each other giving rise to unfruitful exchanges of ideas. From this point of view. web-mediated interactions are still far from being efficient means of communication. confrontation and. in the end. a means for effective decision making. It’s from the analysis of current practices in online interactions that we came up with the idea of Deebase: a CMS aimed at supporting communities in fostering the exchange of ideas among their members. turning chaotic interactions into full-fledged debates. In Deebase. members of a community -whether pre-existing or newly emerging- can engage in online discussions about specific themes. compare their ideas with those of others. rank them and finally vote for their favorite ones. The whole process is supported by the use of gamification techniques which should. on the one hand. improve users’ engagement while on the other hand transform the confrontation as a deliberate act into an exciting game-like process. In developing Deebase we have envisaged three potential targets which could benefit from the adoption of the platform: online communities. private companies and public administrations.,open-knowledge,participation-and-democracy e-deliberation,http://data.digitalsocial.eu/id/activity/229bca1e-67bc-de03-83ca-57c09faa81a0,1
cross media photography project,There's enough bad news everywhere. Let's find positivity by accident. Online and offline photography project where people show accidentally found hearts. Offline expositions so people can view these photographed hearts found. ,open-knowledge,education-and-skills culture-and-arts energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/b47e31f2-dd56-3486-a244-a30ac833cda2,,,,,1,
Neighbourhood Planning/Public Realm design,Using digital tools to encourage community involvement in community planning exercises.Activation of public realm by designing in digital technology.,,,http://data.digitalsocial.eu/id/activity/41705d95-2dbc-fbb9-d324-082503c144b9,1
Find and support creative projects,Imagination for People (I4P) is first and foremost a network of citizens from all over the globe who believe that creativity can be used in practical ways to make a positive social impact. Basically. we believe in imagination for the common good.The goal of I4P is twofold:- Identify innovative projects from different countries that showcase the extraordinary imagination of citizens. This includes projects being carried out by individual entrepreneurs or communities of enlightened citizens. visionary public organizations and pioneer companies (i.e. the three “Ps” that Imagination for People likes to refer to - People. Public. Private).- Support social entrepreneurs as they start up their projects by giving them access to collaborative tools that will allow them to mobilize a global community and. through this community. help their projects flourish.,open-networks,participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment,http://data.digitalsocial.eu/id/activity/eae9950b-46f7-3e6a-9478-fa861571feeb,1
Pro bono,We match talented professionals to causes who need their help. ,open-networks,health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/6ab75a9f-78d9-cc01-734e-0c18864ccd8a,,,,1,,
Digital Inclusion,The BIG Click project focuses on introducing the benefits and practical uses of technology and the internet to people throughout South Wales while improving the use of technology and internet with groups and organisations.  The project focuses on those who are digitally excluded. supporting them effectively through various points of engagement.Big Click delivers stimulating and fun sessions aimed at increasing peoples’ confidence using technologies.  Sessions include basic ICT. email and internet; mobile phones workshops. family ancestry. financial inclusion and digital photography as well as topics relevant to each individual (through an individual or groups hobbies/interests). Work Clubs that are currently established in the Rhondda are supported through CV creation. online job searching and application and practical ICT skills.,open-hardware,work-and-employment health-and-wellbeing finance-and-economy,http://data.digitalsocial.eu/id/activity/a577ca44-e960-2777-5af7-542682ad4256,1
Student Digital Social Innovation Project,Second year business and engineering faculty students are currently working on prototype digital social innovations that will address problems in Glasgow and beyond.,open-data,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/0953cca1-19dd-9b83-3c65-4f00db5845fe,,,,,,1
Investment and support for social technology start-ups,We support very early stage start-ups with an idea for using technology to solve a social problem. We invest £15.000 in return for an equity share in the company. ,open-networks,health ageing sustainability education,http://data.digitalsocial.eu/id/activity/ac34cd65-ec77-3ace-05ab-79cbb526e7c5,,,,,,1
Advisory and Supervision Services for Young Entrepreneurs,,,,http://data.digitalsocial.eu/id/activity/d7b382ca-dd56-e2cd-2fa9-5fd4e8043131,,,,,,1
Advisory and Training Services within the Field of Social Entrepreneurship,,,,http://data.digitalsocial.eu/id/activity/082788ce-4f79-1ff4-67eb-bc104ab4ec1e,,,,,,1
bespoken,bespoken is a member lead online community for disabled and elderly people to share information. give advice and review and influence the design of independent living equipment.,open-knowledge,health-and-wellbeing independent-living disability,http://data.digitalsocial.eu/id/activity/3686df8c-3aa1-8dea-0b22-9f18d727009e,1,,,1,,
Trend research ,We research digital communications for the social sector and develop tools.,open-data,participation-and-democracy education-and-skills science,http://data.digitalsocial.eu/id/activity/b5afaf7b-8653-59e8-c625-f00b6032e7f7,,,,,,1
Possunt -a social platform for stories that matter to us,Possunt is a new place on the Internet where people share personal video stories. no longer than 6 minutes. It’s designed for true stories that matter and manifestos that change the world. It’s used by everyone who wants to call himself or herself a change-maker. whatever meaning one wants to put into that word. Possunt is a simple. beautiful and collaborative place to inspire and be inspired. ,open-data,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/91d9d9ab-4192-443f-5b07-718ffc8d7de6,1
Community website,Mediawijzer.net is a centre of expertise that connects the activities of various organizations in the area of media literacy and promotes cooperation between them. The community websites invites partners. media literacy professionals and other interested visitors to share news. knowledge and insights on the subject of media literacy. ,open-knowledge,health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts media-literacy,http://data.digitalsocial.eu/id/activity/674fc854-3759-ff2e-c6bb-7a72c42e669f,1,,,1,,
TaxiTastic,Growing network of private hire taxi companies that quote a fixed price and accept cashless payment in advance for taxi rides.,open-knowledge,travel,http://data.digitalsocial.eu/id/activity/1092e1b3-d8c0-d173-8c14-c5aceccb9488,
Ambient Learning City,Looking at ways of implementing findings from the Ambient Learning City project MOSI-ALONG into the EU Smart Cities programme,open-networks,local-government cities,http://data.digitalsocial.eu/id/activity/ff48a048-7336-88bb-5566-8c0b3fd21cfc,,,1,,,
Social Cities,Looking at ways of implementing findings from the Ambient Learning City project MOSI-ALONG into the EU Smart Cities programme,,,http://data.digitalsocial.eu/id/activity/0ba5aa48-141d-be23-dc99-f3c12a68453a,,,1,,,
food,We help food businesses from farm-to-fork tradeof and collaborate more effectively with each other. and their customers.  through promotion  provenance and supply transparency. ,open-networks,,http://data.digitalsocial.eu/id/activity/00c16999-5bb0-6e68-50db-72cc2d733018,1,,1,1,1,
Digital Augmentation of Cities,We overlay urban spaces with personalised digital information using locative=aware audio-media devices .  We investigate human interaction with cities primarily from a sonic perspective. connecting the urban experience with the ritual of the concert hall. art gallery or museum and back.,open-data,culture-and-arts urban-anthropology,http://data.digitalsocial.eu/id/activity/3d3cfb4a-616f-73f5-c552-b4705ab0550a,,,1,,,
eCampaigning Forum Community,The eCampaigning Forum community is a vibrant global network (2.000+ strong with 50%+ UK participation) for people interested in campaigning (=activism) via digital. This included campaigners. digital practitioners. academics. consultants. designers. programmers and even job seekers. The primary way for people to engage is via an email discussion list (http://fairsay.com/ecflist) although they can also engage via various popular platforms.,open-networks,participation-and-democracy education-and-skills,http://data.digitalsocial.eu/id/activity/103019fd-2bb4-9cd8-7c88-789f1c1b2d4a,1
Seeking Funding,A casual social media music game that creates a fair trade market to sell unsigned and independent digital music through game play and downloads,,,http://data.digitalsocial.eu/id/activity/dae2fb89-3968-cbf6-e2fa-0d8c30219dfd,,,,1,,
Optimizing human and material resources in cities,Our award-winning CityMakers programme connects people and things in new ways through a sharing marketplace.http://www.thegoodlifeforall.com/2013/06/06/citymakers-wins-global-innovation-award/,,,http://data.digitalsocial.eu/id/activity/4e08a781-cdb1-c27a-8f8d-2cb57544ea02,,,1,1,,
Learning2.0gether,Learning 2.0gether is a European funded project that aims to help unemployed young people with web 2.0 skills to gain employment and at the same time increase the skills and experience of older workers in business.,,,http://data.digitalsocial.eu/id/activity/0014b35a-5499-afbf-2872-4d77566ed1c2,1
the acceleration agenda knowledge about social entrepreneurship in higher and academic education,energize and nurture long-term civic engagement in local initiatives that create and maintain healthy. just. safe and environmentally sustainable communities. I am busy with others building a citylab. what means strengthen links between social entrepreneurs. activists. researchers. educators and other stakeholders to achieve desired sustainable and green innovations.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/4e41b1fe-0fa3-043e-2030-548025d563d4,,,,,,1
Digital Communications,Primarily supporting charities. tech start-ups and environmental groups in creating creative digital campaigns and social media content to engage their target audiences and create positive change. ,,,http://data.digitalsocial.eu/id/activity/9852f0db-b6b1-b18f-85c7-c58e2eb61eca,,,,,,1
Social Innovation through ICT and Digital Services/Content. Research projects at transnational. national and regional level,We research. develop. implement. pilot and measure Social Innovation projects through ICT and Digital Services/Content.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts,http://data.digitalsocial.eu/id/activity/4c1b0f18-894a-ba38-e50f-278ca0344528,,,,,,1
Social Innovation Incubation Award ,The Social Innovation Incubator Award is a 12 month programme providing all you need to start and grow your socially innovative project/idea if you're at the start-up/emerging stage of a business life-cyle. It is available for up to 10 start-up Social Innovators per year. through a competitive application process. ,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/27e6d5f4-402e-fb13-ab2d-2732f91143cb,,,,,,1
Co-Working,The Melting Pot aims to stimulate and support social innovation. We provide co-working space for individuals and organisations who are working for a better world.,open-networks,work-and-employment health-and-wellbeing participation-and-democracy education-and-skills science culture-and-arts finance-and-economy energy-and-environment neighbourhood-regeneration,http://data.digitalsocial.eu/id/activity/1ce04db5-6a20-58be-0dc3-2e6b00a2bf6f,,,,,,1
Social media for social good gatherings,#begoodbesocial brings together anyone interested in social media for social good. We have regular events in Glasgow. Edinburgh. Toronto and Amsterdam.,open-knowledge,health-and-wellbeing participation-and-democracy education-and-skills culture-and-arts neighbourhood-regeneration charity civil-society-groups nonprofit social-enterprise,http://data.digitalsocial.eu/id/activity/88b45f38-75da-e689-67d1-b323d531cd42,1
Social innovation,,,,http://data.digitalsocial.eu/id/activity/48680aee-cea2-a6c5-0e83-e2eb214af2c2,1,1,1,1,1,
